Id,Code,Orthobullets QID,Complexity,Percent who answered correctly,Link
Trauma 1,SAE12FA.35,8056,NA,71,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12FA.35
Trauma 2,SAE12FA.69,8091,L2,84,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12FA.69
Trauma 3,SAE12TR.52,8189,L1,89,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.52
Trauma 4,SAE11OS.63,7651,L2,49,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE11OS.63
Trauma 5,SAE12FA.77,8099,L1,84,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12FA.77
Trauma 6,SAE12TR.86,8226,NA,35,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.86
Trauma 7,SAE11OS.24,7612,L4,71,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE11OS.24
Trauma 8,SAE10BS.67,7155,L3,56,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE10BS.67
Trauma 9,SAE08UE.73,6635,L5,36,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08UE.73
Trauma 10,SAE09FA.55,6743,L2,83,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09FA.55
Trauma 11,SAE09FA.66,6754,L4,33,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09FA.66
Trauma 12,SAE09TR.90,6978,L2,70,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09TR.90
Trauma 13,SAE09FA.96,6784,L5,53,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09FA.96
Trauma 14,SAE12TR.71,8210,L3,63,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.71
Trauma 15,SAE12TR.14,8147,L2,71,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.14
Trauma 16,SAE09TR.12,6900,L2,74,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09TR.12
Trauma 17,SAE08UE.2,6564,L4,51,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08UE.2
Trauma 18,SAE08OS.72,6434,L4,37,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.72
Trauma 19,SAE08OS.50,6412,L4,39,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.50
Trauma 20,SAE11UE.49,7837,L2,77,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE11UE.49
Trauma 21,SAE08OS.130,6492,L3,78,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE08OS.130
Trauma 22,SAE09TR.62,6950,L1,94,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE09TR.62
Trauma 23,SAE11OS.37,7625,L3,54,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE11OS.37
Trauma 24,SAE12TR.61,8199,L5,18,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.61
Trauma 25,SAE12TR.20,8154,L1,89,https://www.orthobullets.com/Site/ElasticSearch/StandardSearchList?contentType=2&search=SAE12TR.20
